Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2023-04-26,IAV-M,NA,324261.454768041,0.960965058227642,0.769787612487805,1.18073001723577
Switzerland,2023-04-27,IAV-M,172773.33095935,324261.454768041,0.963625618430894,0.77224642501626,1.18397108203252
Switzerland,2023-04-28,IAV-M,NA,308155.546652313,0.965886935772358,0.771914644536585,1.18720645357724
Switzerland,2023-04-29,IAV-M,292049.638536585,292049.638536585,0.967769808658536,0.772775764300813,1.18979325723577
Switzerland,2023-04-30,IAV-M,826930.967739837,292049.638536585,0.969312441796748,0.773921542463415,1.19279320804878
Switzerland,2023-05-01,IAV-M,NA,362221.730365957,0.970550656674797,0.773062209520325,1.19059358065041
Switzerland,2023-05-02,IAV-M,NA,362221.730365957,0.97151724900813,0.771063228065041,1.1933614104065
Switzerland,2023-05-03,IAV-M,NA,458306.888680851,0.972242536934959,0.766664267162602,1.19268473739837
Switzerland,2023-05-04,IAV-M,362221.730365957,458306.888680851,0.972771324845528,0.765791925642276,1.19260918934959
Switzerland,2023-05-05,IAV-M,NA,410264.309523404,0.973203615089431,0.766622599552846,1.19159461869919
Switzerland,2023-05-06,IAV-M,458306.888680851,362221.730365957,0.973626723528455,0.767954495089431,1.19117728227642
Switzerland,2023-05-07,IAV-M,816091.738944681,362221.730365957,0.974120253447154,0.767765348479675,1.19122562162602
Switzerland,2023-05-08,IAV-M,0,109951.475404255,0.974761602764228,0.76662263702439,1.19246148333333
Switzerland,2023-05-09,IAV-M,109951.475404255,54975.7377021277,0.975625382910569,0.766766693552846,1.19592477292683
Switzerland,2023-05-10,IAV-M,NA,54975.7377021277,0.976783853691057,0.769240776260163,1.1995866199187
Switzerland,2023-05-11,IAV-M,0,0,0.978295444634146,0.770066847073171,1.20129777869919
Switzerland,2023-05-12,IAV-M,0,23962.9891151685,0.980156501219512,0.777698446317073,1.20357036585366
Switzerland,2023-05-13,IAV-M,187044.840455285,0,0.982304711349593,0.778282367544715,1.20342660121951
Switzerland,2023-05-14,IAV-M,0,0,0.984665732642276,0.78079208902439,1.20682058642276
Switzerland,2023-05-15,IAV-M,47925.9782303371,23962.9891151685,0.987162705772358,0.782960858504065,1.20988891495935
Switzerland,2023-05-16,IAV-M,0,66865.3318793962,0.989716053268293,0.782605166731707,1.21340202414634
Switzerland,2023-05-17,IAV-M,NA,58619.2763021604,0.992243415268293,0.782268852666667,1.22102630626016
